,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,sca_types_sca,sca_types_passlive,sca_types_passdead,sca_types_drib,sca_types_sh,sca_types_fld,sca_types_def,gca_types_gca,gca_types_passlive,gca_types_passdead,gca_types_drib,gca_types_sh,gca_types_fld,gca_types_def,team
86,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Home,D,1,1,Osasuna,44.0,34.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
87,2022-10-05,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,63.0,46.0,6.0,4.0,3.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
88,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Away,W,1,0,Getafe,32.0,24.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Real Madrid
89,2022-10-11,22:00,Champions Lg,Group stage,Tue,Away,D,1,1,ua Shakhtar,28.0,22.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Real Madrid
90,2022-10-16,16:15,La Liga,Matchweek 9,Sun,Home,W,3,1,Barcelona,15.0,13.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,Real Madrid
91,2022-10-19,21:00,La Liga,Matchweek 10,Wed,Away,W,3,0,Elche,18.0,15.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,Real Madrid
92,2022-10-22,21:00,La Liga,Matchweek 11,Sat,Home,W,3,1,Sevilla,34.0,26.0,2.0,2.0,1.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,Real Madrid
93,2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,L,2,3,de RB Leipzig,22.0,19.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,Real Madrid
94,2022-08-14,17:30,La Liga,Matchweek 1,Sun,Away,W,1,0,Cádiz,28.0,18.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
95,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Home,L,1,4,Barcelona,15.0,8.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
96,2022-08-27,17:30,La Liga,Matchweek 3,Sat,Away,W,1,0,Elche,13.0,9.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
97,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Home,D,1,1,Atlético Madrid,19.0,16.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
98,2022-09-08,20:00,Europa Lg,Group stage,Thu,Away,W,1,0,eng Manchester Utd,11.0,8.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Real Sociedad
99,2022-09-11,18:30,La Liga,Matchweek 5,Sun,Away,L,1,2,Getafe,23.0,21.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
100,2022-09-15,18:45,Europa Lg,Group stage,Thu,Home,W,2,1,cy AC Omonia,18.0,14.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
101,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Home,W,2,1,Espanyol,22.0,13.0,2.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,Real Sociedad
102,2022-10-02,18:30,La Liga,Matchweek 7,Sun,Away,W,5,3,Girona,15.0,12.0,0.0,0.0,0.0,1.0,2.0,11.0,9.0,0.0,0.0,0.0,1.0,1.0,Real Sociedad
103,2022-10-06,19:45,Europa Lg,Group stage,Thu,Away,W,2,0,md Sheriff Tiraspol,12.0,6.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,Real Sociedad
104,2022-10-09,18:30,La Liga,Matchweek 8,Sun,Home,W,1,0,Villarreal,28.0,17.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
105,2022-10-13,21:00,Europa Lg,Group stage,Thu,Home,W,3,0,md Sheriff Tiraspol,48.0,40.0,3.0,3.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
106,2022-10-16,14:00,La Liga,Matchweek 9,Sun,Away,W,2,1,Celta Vigo,15.0,10.0,1.0,1.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,Real Sociedad
107,2022-10-19,20:00,La Liga,Matchweek 10,Wed,Home,W,1,0,Mallorca,23.0,19.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Real Sociedad
108,2022-10-22,16:15,La Liga,Matchweek 11,Sat,Away,L,0,1,Valladolid,37.0,28.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
109,2022-10-27,22:00,Europa Lg,Group stage,Thu,Away,W,2,0,cy AC Omonia,27.0,22.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Real Sociedad
110,2022-08-12,21:00,La Liga,Matchweek 1,Fri,Home,W,2,1,Sevilla,20.0,15.0,1.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,Osasuna
111,2022-08-20,17:30,La Liga,Matchweek 2,Sat,Home,W,2,0,Cádiz,27.0,18.0,3.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,Osasuna
112,2022-08-26,22:00,La Liga,Matchweek 3,Fri,Away,L,0,1,Betis,19.0,10.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna
