,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
2120,3.0,Sun,2015-09-13,16:00,Athletic Club,3–1,Getafe,39003.0,San Mamés,Pedro Pérez,,
2121,3.0,Sun,2015-09-13,18:15,Celta Vigo,3–3,Las Palmas,19048.0,Estadio de Balaídos,Javier Estrada,,
2122,3.0,Sun,2015-09-13,20:30,Málaga,0–0,Eibar,19836.0,Estadio La Rosaleda,Alberto Undiano,,
2123,3.0,Mon,2015-09-14,20:30,Rayo Vallecano,1–3,La Coruña,12005.0,Estadio del Rayo Vallecano,Ricardo de Burgos,,
2125,4.0,Fri,2015-09-18,20:30,Getafe,1–0,Málaga,5808.0,Coliseum Alfonso Pérez,José Sánchez,,
2126,4.0,Sat,2015-09-19,16:00,Real Madrid,1–0,Granada,71786.0,Estadio Santiago Bernabéu,Juan Martínez,,
2127,4.0,Sat,2015-09-19,18:15,Valencia,0–0,Betis,40560.0,Estadio de Mestalla,Carlos Velasco,,
2128,4.0,Sat,2015-09-19,20:30,Eibar,0–2,Atlético Madrid,5126.0,Estadio Municipal de Ipurúa,Alejandro Hernández,,
2129,4.0,Sat,2015-09-19,22:00,Real Sociedad,2–3,Espanyol,17481.0,Estadio Municipal de Anoeta,Pedro Pérez,,
2130,4.0,Sun,2015-09-20,12:00,Sevilla,1–2,Celta Vigo,35744.0,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,,
2131,4.0,Sun,2015-09-20,16:00,La Coruña,2–3,Sporting Gijón,25801.0,Estadio Municipal de Riazor,Eduardo Prieto,,
2132,4.0,Sun,2015-09-20,18:15,Villarreal,3–1,Athletic Club,19832.0,Estadio de la Cerámica,Carlos Clos Gómez,,
2133,4.0,Sun,2015-09-20,19:30,Las Palmas,0–1,Rayo Vallecano,19324.0,Estadio de Gran Canaria,José González,,
2134,4.0,Sun,2015-09-20,20:30,Barcelona,4–1,Levante,76013.0,Camp Nou,David Fernández,,
2136,5.0,Tue,2015-09-22,20:00,Atlético Madrid,2–0,Getafe,41152.0,Estadio Vicente Calderón,Alfonso Álvarez,,
2137,5.0,Tue,2015-09-22,20:00,Espanyol,1–0,Valencia,18231.0,RCDE Stadium,Ignacio Iglesias,,
2138,5.0,Tue,2015-09-22,22:00,Granada,0–3,Real Sociedad,12668.0,Estadio Nuevo Los Cármenes,Javier Estrada,,
2139,5.0,Wed,2015-09-23,20:00,Celta Vigo,4–1,Barcelona,23311.0,Estadio de Balaídos,Alberto Undiano,,
2140,5.0,Wed,2015-09-23,20:00,Rayo Vallecano,2–1,Sporting Gijón,11067.0,Estadio del Rayo Vallecano,Iñaki Bikandi,,
2141,5.0,Wed,2015-09-23,20:00,Levante,2–2,Eibar,10929.0,Estadio Ciudad de Valencia,Carlos Velasco,,
2142,5.0,Wed,2015-09-23,21:00,Las Palmas,2–0,Sevilla,19733.0,Estadio de Gran Canaria,Carlos del Cerro,,
2143,5.0,Wed,2015-09-23,21:00,Athletic Club,1–2,Real Madrid,43387.0,San Mamés,Antonio Matéu Lahoz,,
2144,5.0,Wed,2015-09-23,22:00,Málaga,0–1,Villarreal,18647.0,Estadio La Rosaleda,Ricardo de Burgos,,
2145,5.0,Thu,2015-09-24,22:00,Betis,1–2,La Coruña,37051.0,Estadio Benito Villamarín,Jesús Gil,,
