,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
118,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,0.0,8.0,2.0,25.0,0.0,0.0,21.1,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,Valladolid
119,2022-09-05,21:00,La Liga,Matchweek 4,Mon,Home,W,1,0,Almería,1.0,14.0,6.0,42.9,0.07,0.17,17.4,0.0,0.0,0.0,1.3,1.3,0.09,-0.3,-0.3,Valladolid
120,2022-09-09,21:00,La Liga,Matchweek 5,Fri,Away,L,1,2,Girona,1.0,14.0,4.0,28.6,0.07,0.25,19.4,0.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,Valladolid
121,2022-09-16,21:00,La Liga,Matchweek 6,Fri,Home,L,0,1,Cádiz,0.0,18.0,6.0,33.3,0.0,0.0,17.4,2.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4,Valladolid
122,2022-10-01,16:15,La Liga,Matchweek 7,Sat,Away,W,3,2,Getafe,3.0,13.0,6.0,46.2,0.15,0.33,22.7,1.0,1.0,1.0,1.5,0.7,0.06,1.5,1.3,Valladolid
123,2022-10-09,14:00,La Liga,Matchweek 8,Sun,Home,D,0,0,Betis,0.0,12.0,3.0,25.0,0.0,0.0,21.8,1.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Valladolid
124,2022-08-13,17:00,La Liga,Matchweek 1,Sat,Home,D,2,2,Espanyol,2.0,8.0,3.0,37.5,0.25,0.67,20.1,0.0,0.0,0.0,0.3,0.3,0.04,1.7,1.7,Celta Vigo
125,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Home,L,1,4,Real Madrid,1.0,14.0,1.0,7.1,0.0,0.0,20.7,1.0,1.0,1.0,1.3,0.6,0.04,-0.3,-0.6,Celta Vigo
126,2022-08-26,20:00,La Liga,Matchweek 3,Fri,Away,W,1,0,Girona,1.0,11.0,6.0,54.5,0.09,0.17,16.8,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,Celta Vigo
127,2022-09-02,21:00,La Liga,Matchweek 4,Fri,Home,W,3,0,Cádiz,3.0,9.0,5.0,55.6,0.33,0.6,19.7,0.0,0.0,0.0,0.8,0.8,0.09,2.2,2.2,Celta Vigo
128,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Away,L,1,4,Atlético Madrid,1.0,14.0,3.0,21.4,0.07,0.33,17.2,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4,Celta Vigo
129,2022-09-17,18:30,La Liga,Matchweek 6,Sat,Away,L,0,3,Valencia,0.0,6.0,2.0,33.3,0.0,0.0,11.7,1.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,Celta Vigo
130,2022-10-02,16:15,La Liga,Matchweek 7,Sun,Home,W,1,0,Betis,1.0,12.0,4.0,33.3,0.08,0.25,21.1,1.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,Celta Vigo
131,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Away,L,0,1,Barcelona,0.0,14.0,3.0,21.4,0.0,0.0,15.1,1.0,0.0,0.0,1.5,1.5,0.11,-1.5,-1.5,Celta Vigo
132,2022-08-15,19:30,La Liga,Matchweek 1,Mon,Home,L,0,3,Atlético Madrid,0.0,10.0,0.0,0.0,0.0,,17.0,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Getafe
133,2022-08-22,22:00,La Liga,Matchweek 2,Mon,Away,L,1,3,Girona,1.0,7.0,3.0,42.9,0.14,0.33,19.3,0.0,0.0,0.0,0.7,0.7,0.11,0.3,0.3,Getafe
134,2022-08-28,17:30,La Liga,Matchweek 3,Sun,Home,D,0,0,Villarreal,0.0,8.0,2.0,25.0,0.0,0.0,20.5,1.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Getafe
135,2022-09-04,21:00,La Liga,Matchweek 4,Sun,Away,L,1,5,Valencia,1.0,7.0,4.0,57.1,0.14,0.25,15.5,0.0,0.0,0.0,0.5,0.5,0.07,0.5,0.5,Getafe
136,2022-09-11,18:30,La Liga,Matchweek 5,Sun,Home,W,2,1,Real Sociedad,2.0,7.0,2.0,28.6,0.29,1.0,24.7,1.0,0.0,1.0,1.1,0.4,0.05,0.9,1.6,Getafe
137,2022-09-18,14:00,La Liga,Matchweek 6,Sun,Away,W,2,0,Osasuna,2.0,10.0,4.0,40.0,0.2,0.5,18.8,1.0,0.0,0.0,1.4,1.4,0.15,0.6,0.6,Getafe
138,2022-10-01,16:15,La Liga,Matchweek 7,Sat,Home,L,2,3,Valladolid,2.0,14.0,5.0,35.7,0.14,0.4,13.3,0.0,0.0,1.0,2.5,1.8,0.13,-0.5,0.2,Getafe
139,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Home,L,0,1,Real Madrid,0.0,8.0,1.0,12.5,0.0,0.0,21.4,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Getafe
140,2022-10-14,21:00,La Liga,Matchweek 9,Fri,Away,D,0,0,Rayo Vallecano,0.0,6.0,3.0,50.0,0.0,0.0,,,0.0,0.0,,,,,,Getafe
141,2022-08-14,19:30,La Liga,Matchweek 1,Sun,Away,L,0,1,Valencia,0.0,5.0,1.0,20.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Girona
142,2022-08-22,22:00,La Liga,Matchweek 2,Mon,Home,W,3,1,Getafe,2.0,13.0,7.0,53.8,0.15,0.29,22.3,0.0,0.0,0.0,1.1,1.1,0.09,0.9,0.9,Girona
