_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
36,Sat,2019-05-04,18:30:00,Alavés,0–1,Real Sociedad,18509,Estadio de Mendizorroza,Alberola Rojas,0.8,0.8,0,1
36,Sat,2019-05-04,16:15:00,Espanyol,3–0,Atlético Madrid,20207,RCDE Stadium,José Luis Munuera,1.3,1.2,3,0
36,Sat,2019-05-04,13:00:00,Levante,4–1,Rayo Vallecano,19868,Estadio Ciudad de Valencia,Javier Estrada,1.9,1.3,4,1
36,Sun,2019-05-05,20:45:00,Huesca,2–6,Valencia,6378,Estadio El Alcoraz,Carlos del Cerro,2.6,2.4,2,6
36,Sun,2019-05-05,12:00:00,Getafe,2–0,Girona,10615,Coliseum Alfonso Pérez,Alejandro Hernández,1.8,0.5,2,0
36,Sun,2019-05-05,18:30:00,Valladolid,1–0,Athletic Club,21151,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,0.5,1.1,1,0
36,Sun,2019-05-05,16:15:00,Real Madrid,3–2,Villarreal,46294,Estadio Santiago Bernabéu,Jesús Gil,2.9,0.8,3,2
36,Sun,2019-05-05,14:00:00,Eibar,1–0,Betis,4725,Estadio Municipal de Ipurúa,Ignacio Iglesias,1.2,2.1,1,0
37,Sun,2019-05-12,18:30:00,Betis,2–1,Huesca,28078,Estadio Benito Villamarín,Adrián Cordero,2.4,1.4,2,1
37,Sun,2019-05-12,18:30:00,Leganés,0–2,Espanyol,10597,Estadio Municipal de Butarque,Mario Melero,1.0,2.8,0,2
37,Sun,2019-05-12,18:30:00,Real Sociedad,3–1,Real Madrid,27322,Estadio Municipal de Anoeta,Juan Martínez,2.0,0.6,3,1
37,Sun,2019-05-12,18:30:00,Barcelona,2–0,Getafe,57088,Camp Nou,José González,2.3,1.1,2,0
37,Sun,2019-05-12,18:30:00,Villarreal,1–0,Eibar,17901,Estadio de la Cerámica,Pablo González,1.4,0.3,1,0
